fund_code,report_date,year,quarter,AS_new,num_holdings
12456,2025-06-30,2025,2,0.94011229765233,168
12456,2025-12-31,2025,4,0.9448626249421112,143
12457,2021-06-30,2021,2,0.986666666666653,10
12457,2021-12-31,2021,4,0.960019714628023,95
12457,2022-06-30,2022,2,0.9564389914204395,105
12457,2022-12-31,2022,4,0.9584769855389673,152
12457,2023-06-30,2023,2,0.9598730212959665,174
12457,2023-12-31,2023,4,0.9534306134760008,168
12457,2024-06-30,2024,2,0.964419549697954,101
12457,2024-12-31,2024,4,0.9474285714285576,126
12457,2025-06-30,2025,2,0.94011229765233,168
12457,2025-12-31,2025,4,0.9448626249421112,143
1267,2020-06-30,2020,2,0.9467881695724506,89
1267,2020-12-31,2020,4,0.9577613736564765,76
1267,2021-06-30,2021,2,0.9465314353499261,81
1267,2021-12-31,2021,4,0.9443779853459228,85
1267,2022-06-30,2022,2,0.954592091123993,60
1267,2022-12-31,2022,4,0.9225310870437101,101
1267,2023-06-30,2023,2,0.9096295416556578,114
1267,2023-12-31,2023,4,0.9313333333333208,83
1267,2024-06-30,2024,2,0.9216666666666538,84
1267,2024-12-31,2024,4,0.9206666666666543,94
1267,2025-06-30,2025,2,0.9333333333333207,89
1267,2025-12-31,2025,4,0.9234084436253851,85
13107,2022-06-30,2022,2,0.9723333333333204,80
13107,2022-12-31,2022,4,0.9689104413114978,96
13107,2023-06-30,2023,2,0.9860047281323726,123
13107,2023-12-31,2023,4,0.9825841992412851,130
13107,2024-06-30,2024,2,0.9619422399352948,77
13107,2024-12-31,2024,4,0.9562237683064756,81
13107,2025-06-30,2025,2,0.9639999999999869,90
13107,2025-12-31,2025,4,0.9649099446587159,93
13108,2022-06-30,2022,2,0.9723333333333204,80
13108,2022-12-31,2022,4,0.9689104413114978,96
13108,2023-06-30,2023,2,0.9860047281323726,123
13108,2023-12-31,2023,4,0.9825841992412851,130
13108,2024-06-30,2024,2,0.9619422399352948,77
13108,2024-12-31,2024,4,0.9562237683064756,81
13108,2025-06-30,2025,2,0.9639999999999869,90
13108,2025-12-31,2025,4,0.9649099446587159,93
13238,2022-06-30,2022,2,0.9568639342829547,89
13238,2022-12-31,2022,4,0.9595767075571572,102
13238,2023-06-30,2023,2,0.9657562160342289,93
13238,2023-12-31,2023,4,0.9637135730617193,89
13238,2024-06-30,2024,2,0.9599802402678259,78
13238,2024-12-31,2024,4,0.9679999999999868,57
13238,2025-06-30,2025,2,0.9703333333333194,53
13238,2025-12-31,2025,4,0.9649041078468636,63
13239,2022-06-30,2022,2,0.9568639342829547,89
13239,2022-12-31,2022,4,0.9595767075571572,102
13239,2023-06-30,2023,2,0.9657562160342289,93
13239,2023-12-31,2023,4,0.9637135730617193,89
13239,2024-06-30,2024,2,0.9599802402678259,78
13239,2024-12-31,2024,4,0.9679999999999868,57
13239,2025-06-30,2025,2,0.9703333333333194,53
13239,2025-12-31,2025,4,0.9649041078468636,63
13312,2021-06-30,2021,2,0.9829999999999862,20
13312,2021-12-31,2021,4,0.9600661917482805,141
13312,2022-06-30,2022,2,0.9524018343364733,141
13312,2022-12-31,2022,4,0.957141042487941,122
13312,2023-06-30,2023,2,0.9534065860214916,168
13312,2023-12-31,2023,4,0.9566774544888612,164
13312,2024-06-30,2024,2,0.9545848938315882,88
13312,2024-12-31,2024,4,0.955107344632754,95
13312,2025-06-30,2025,2,0.9705898263408493,97
13312,2025-12-31,2025,4,0.9688669225847583,94
13369,2022-06-30,2022,2,0.9718976248976107,56
13369,2022-12-31,2022,4,0.9664847806982368,128
13369,2023-06-30,2023,2,0.9625995550909763,168
13369,2023-12-31,2023,4,0.958384151530611,221
