fund_code,report_date,rc_mom,lead2,fut4q
18326,2023-10-01,,-0.0783214871514482,0.002481666424969914
18326,2024-01-01,,-0.0719264422363933,0.05899045238004641
18326,2024-04-01,,0.1353467561521253,0.18514942314879268
18326,2024-07-01,-0.3383458646616541,0.0738916256157626,0.34888324499744383
18326,2024-10-01,,0.0478374836172981,0.8790193620266661
18326,2025-01-01,,0.0918073796122578,0.7901325513785749
18326,2025-04-01,,0.6654828731813476,0.8211358498841813
18326,2025-07-01,-0.2857142857142856,-0.0149951850323287,1.4840051483740666
18326,2025-10-01,,0.0788407821229046,
18326,2026-01-01,-0.0934065934065934,0.754676678102143,
18326,2026-04-01,,,
18326,2026-07-01,,,
18358,2023-07-01,,-0.0288668677294265,-0.2994468813863483
18358,2023-10-01,,-0.1223380656610461,-0.0981116952661488
18358,2024-01-01,,-0.0750663465183874,-0.009416802830413587
18358,2024-04-01,,0.1281595846427112,0.22799382596627402
18358,2024-07-01,,0.0598280247063087,0.37951026471667665
18358,2024-10-01,,0.1150725631356415,0.6140696442780778
18358,2025-01-01,0.4825174825174825,0.0764500922320152,0.6965498492769526
18358,2025-04-01,,0.3627189642041124,0.7503354599533109
18358,2025-07-01,-0.1151515151515151,0.1423082297051836,1.7383998089100794
18358,2025-10-01,,0.1688581738119996,
18358,2026-01-01,-0.6153846153846153,1.0645144411887837,
18358,2026-04-01,,,
18358,2026-07-01,,,
18359,2023-07-01,,-0.0298684494285094,-0.3031513629435316
18359,2023-10-01,,-0.1232633099922199,-0.10202914696488252
18359,2024-01-01,,-0.0759381338742398,-0.01336581013527681
18359,2024-04-01,,0.1270407463300866,0.22371676865436663
18359,2024-07-01,,0.0587948874010963,0.3751090726359554
18359,2024-10-01,,0.1138192687974235,0.609523360378236
18359,2025-01-01,0.4825174825174825,0.075454170107349,0.6917929777356876
18359,2025-04-01,,0.3614550340723672,0.7457730416949672
18359,2025-07-01,-0.1151515151515151,0.1410645047585479,1.7327990324171596
18359,2025-10-01,,0.1677993327567031,
18359,2026-01-01,-0.6153846153846153,1.0624801608295416,
18359,2026-04-01,,,
18359,2026-07-01,,,
18956,2023-10-01,,0.1805525808524308,0.16620306750311212
18956,2024-01-01,,-0.0221335268505077,0.3897185255547746
18956,2024-04-01,0.2181818181818182,0.1082560296846009,0.1366460073094841
18956,2024-07-01,-0.5878787878787878,0.1230434418682506,0.4571562619002691
18956,2024-10-01,0.0787878787878787,-0.0725199373928597,1.2353271679091768
18956,2025-01-01,0.4010989010989011,0.2983767277402773,1.296082407100016
18956,2025-04-01,,0.8864269356935086,1.363641284655288
18956,2025-07-01,0.3333333333333332,0.1837986810590899,1.7529978308273275
