fund_code,year,quarter,anchor_high,cgo
519005,2021,4,0.918326898625499,0.5207717525424133
519005,2022,1,0.7761258731884124,0.12181244261590186
519005,2022,2,0.9275630487769327,0.3013935269645786
519005,2022,3,0.9311289726680007,0.45461743959805795
519005,2022,4,0.8022392279868731,0.15839870578176374
519005,2023,1,0.9673846134392116,1.0206794020630177
519005,2023,2,0.9395009662476463,0.8293261150785215
519005,2023,3,0.804408746778982,0.36958280658066783
519005,2023,4,0.7849132385913656,0.15278559729994767
519005,2024,1,0.8410032034791706,0.14799195698910883
519005,2024,2,0.8374952164121612,0.3127890635962487
519005,2024,3,0.7950535613443407,0.39309328688146267
519005,2024,4,0.8972251854338071,0.5960339552910195
519005,2025,1,0.9307326601424492,0.6743120865082968
519005,2025,2,0.9086882052028225,0.42698881436605846
519005,2025,3,0.9866307380486121,0.9807185689847706
519005,2025,4,0.9479456230992312,0.6764618942435515
519005,2026,1,0.8971283097362968,0.5565701009844675
519005,2026,2,1.0,1.193993908072053
519013,2018,2,0.780322354024823,0.026629891830961466
519013,2018,4,0.6651631473898478,-0.0662212340141638
519013,2019,2,0.8352750742543852,0.20295479203138928
519013,2019,4,0.9098283161771918,0.23582175091007318
519013,2020,1,0.8928692130064522,0.3645062171004192
519013,2020,2,0.9723656874695891,0.4650895983591807
519013,2020,3,0.8943168162009945,0.43187678725888445
519013,2020,4,0.9694486334250634,0.3444119729274632
519013,2021,1,0.8770792951375929,0.16208385757865137
519013,2021,2,0.9132943782103048,0.16857920225368
519013,2021,3,0.8615004403922082,0.13574735090315587
519013,2021,4,0.8854724888221281,0.20948020687445656
519013,2022,1,0.7864567285423038,0.0425663151292694
519013,2022,2,0.8323627062180301,0.08038096888576482
519013,2022,3,0.7984846612136062,0.0035791420512377033
519013,2022,4,0.7175389846734535,0.044316174205024796
519013,2023,1,0.7788642445329367,0.13431844732943848
519013,2023,2,0.7995834554900231,0.16078833428517927
519013,2023,3,0.7420273643454434,0.032645223051245606
519013,2023,4,0.7485208895570199,-0.014054530088318978
519013,2024,1,0.75674053163708,0.06499276851731271
519013,2024,2,0.8054648592712786,0.09414782736440012
519013,2024,3,0.7774570391498854,0.18156088023655062
519013,2024,4,0.8095816500184778,0.13865096706023317
519013,2025,1,0.8005661839876115,0.17751042082704127
519013,2025,2,0.8276863297680986,0.1429947452279313
519013,2025,3,0.9373784570766696,0.43805607867689117
519013,2025,4,0.8867346444799616,0.18885567750147303
519013,2026,1,0.8072256713638564,0.1331494389295579
519013,2026,2,0.9305632517787953,0.7563592719810543
519018,2018,2,0.8540282453623357,0.10463111125548814
519018,2018,4,0.6617393086158365,-0.10916476471823486
519018,2019,2,0.8698509344105977,0.22572349710284959
519018,2019,4,0.9404074670534741,0.20938165538864492
519018,2020,1,0.865374430450951,0.09230528809530178
519018,2020,2,0.9542280048770779,0.3943415518052375
519018,2020,3,0.8890768342563179,0.3205028357142582
519018,2020,4,0.923555024170439,0.34418488315090195
519018,2021,1,0.8901223494456756,0.20114993295529532
519018,2021,2,0.9035227938050735,0.21269006090731496
519018,2021,3,0.7668868983022615,-0.015116505019173731
519018,2021,4,0.8421942843206665,0.14049116401771491
519018,2022,1,0.6946299274349158,-0.10191123471442941
519018,2022,2,0.7906225062794914,0.047528679495649095
519018,2022,3,0.7345623429677585,-0.03099352602386961
519018,2022,4,0.6842377023178979,-0.008674341918113901
519018,2023,1,0.7471736427253914,0.05891883036548698
519018,2023,2,0.7547966719176489,0.15996612694438322
519018,2023,3,0.7248090831322277,0.02088519869676564
519018,2023,4,0.7151034185202894,-0.030805116566384932
519018,2024,1,0.8055008160835685,0.07527289059825094
519018,2024,2,0.7741132025897794,0.03430047677021737
519018,2024,3,0.9288724723743528,0.2467178591132549
519018,2024,4,0.8579761955186566,0.13075511833649386
519018,2025,1,0.9348292309630214,0.11965194741507269
519018,2025,2,0.8957216759247199,0.11974289033916329
519018,2025,3,1.0,0.9742987617941568
519018,2025,4,0.943594159897433,0.5163706799227056
519018,2026,1,0.8956297128955691,0.2591406721994692
519018,2026,2,0.9819964520499093,0.9966182580626809
519026,2018,2,0.8655160614155268,0.16686100755972127
519026,2018,4,0.6159193315021857,-0.13487526640378406
519026,2019,2,0.9263624549898428,0.3516502623012509
519026,2019,4,0.9466875909263347,0.2859274596287733
519026,2020,1,0.8465506310929419,0.14986362917614607
519026,2020,2,0.9762733218071992,0.48860129453258005
519026,2020,3,0.8825208315719394,0.3797257937293381
519026,2020,4,0.8924651232331395,0.26025279327172585
519026,2021,1,0.8335342245704339,0.12342940700506577
519026,2021,2,0.9345303076787703,0.29988246151291176
519026,2021,3,0.8322116417789217,0.2552996587336943
519026,2021,4,0.8337599028263318,0.24316420441225337
519026,2022,1,0.7732270324455424,0.04466717379175641
519026,2022,2,0.8716318166641859,0.16700577666283492
519026,2022,3,0.7754630093555669,0.10018677897523226
519026,2022,4,0.7450736273086287,0.05728120530420959
519026,2023,1,0.727543061412247,0.008840373863016152
519026,2023,2,0.7438620255259165,0.10845439366495183
519026,2023,3,0.5907104944633682,-0.079411634330609
519026,2023,4,0.7032311635503481,0.025216864792903148
519026,2024,1,0.8227368560526859,0.09228867596081766
519026,2024,2,0.8494074744565474,0.21847823004065772
519026,2024,3,0.8787007901084989,0.3495525266346757
519026,2024,4,0.8457152050314783,0.2558386861750322
519026,2025,1,0.8113224336821553,0.21772168496159058
519026,2025,2,0.9102784965176214,0.282105249416551
519026,2025,3,0.9712655950985783,0.7341796558531647
519026,2025,4,0.9171687439389541,0.4655487747982312
519026,2026,1,0.8576744765035985,0.31687971302875423
519026,2026,2,0.9921303246270474,1.054572466184292
519035,2007,2,0.9284118511517655,0.78412731788068
519035,2007,3,,
519035,2007,4,0.7552372544828564,0.24552765974984375
519035,2008,1,,
519035,2008,2,0.6027970143121364,-0.2690735399393138
519035,2008,3,,
519035,2008,4,0.5297739255081132,-0.21766271547070587
519035,2009,1,,
519035,2009,2,0.45743256031249907,0.5916055225895367
519035,2009,3,,
519035,2009,4,0.5807797924544363,0.30661079523370793
519035,2010,1,0.7048134342393182,0.1950615865847513
519035,2010,2,0.2113877613763736,-0.20686648809106972
