fund_code,composite,ff5_adj_return,V0 现行(对照),V1 优先级修正,V2 分位数交集,V3 综合分末十分位,V4 剔风险转化后末十分位
845,-0.4789109914592449,-0.0096163974742206,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他)
940,-0.1124872026803412,0.040730266272866,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1000,-0.0274803980903963,0.0275394459193409,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
1037,-0.4443829368768833,0.0044610465246065,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他)
1060,0.1199744111652189,0.0193381303205619,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
1075,-0.1815790662158141,0.0193667332588229,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1076,-0.1719437138177529,0.0359882904287955,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1088,-0.4404771605411841,0.0099084712319878,均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
1170,-0.1259831515301037,0.0230825530010874,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1184,-0.3211719098456608,0.0055573141940628,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1194,0.2262878390613353,0.0471055233046176,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1198,-0.3460753716817364,0.0216410769014476,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1267,-0.3639705753701903,0.0147682793306558,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1407,-0.1632530605962577,0.0456990060087916,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
1411,-0.1184163959650182,0.0207264845833167,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1412,-0.1173014329627175,0.0435415798796138,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1437,-0.0949496226458537,0.0593786015805047,均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他),均衡型(其他)
1438,-0.154020274152455,0.0502021692969099,均衡型(其他),均衡型(其他),高换手噪声型(输家),均衡型(其他),均衡型(其他)
1475,-0.0785553405107367,0.0013426567563733,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
1480,-0.1830435591379235,0.0399517113148676,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1513,0.271521311628606,0.0467116104318334,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
1664,-0.1002410293591363,0.0106987988722928,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
1665,-0.1273692326539775,0.0095692848150145,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型,低偏误纪律型
1702,0.1264628863245225,0.0215979835834719,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型,行业集中下注型
1715,-2.522014814817535,0.0355899850324437,高换手噪声型(输家),高换手噪声型(输家),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
1723,-0.105286339525634,0.0271738342569197,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1753,-0.4450898416251831,0.0531595727795297,均衡型(其他),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家),均衡型(其他)
1759,0.0124701152902057,0.0059405694618421,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1811,0.0151736159685164,0.0295950408943053,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1856,0.0241237748530375,0.0381132262994896,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1881,-0.3812287724660827,0.0176115317554051,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),高换手噪声型(输家)
1985,-0.1969052042858378,0.0164904967550533,均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他),均衡型(其他)
1998,-2.502211328425223,0.0340359479893788,高换手噪声型(输家),高换手噪声型(输家),均衡型(其他),高换手噪声型(输家),高换手噪声型(输家)
