fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
21383,-0.42861957702076514,0.7981533406578067,1.219894379914726,1.8640700597708095,-0.7296005408628836,0.5447795324919387,,0.21187461608979385
21510,0.144719000450345,2.734978683264999,0.9247646080746238,3.7022660265683083,0.23275362844582462,1.5478963893608202,,0.20627980365932735
21511,0.1446651915776683,2.734978683264999,0.9247646080746238,3.6916449056954934,0.23275362844582462,1.545761403411722,,0.20542730127812137
21523,0.35942210887687764,0.4499047092987397,2.3842660963343625,0.44614613991866686,0.7853606915907778,0.885019949203885,,0.2508875946291982
21528,0.4888274559918034,0.36069534199898184,2.21346434170405,0.5947707523189528,2.519343568327373,1.2354202920682322,,0.28507046608592684
21593,1.253661743406291,1.8169654220564007,1.7573718723095801,1.6720515698256797,-1.5118500045052645,0.9976401206185374,,0.2134416905512177
21594,1.253227812395654,1.8169654220564007,1.7573718723095801,1.6122367754628533,-1.5118500045052645,0.9855903755438448,,0.21233529514863192
21626,2.46384461886037,2.555463419343876,2.4849971033597873,3.145067388223391,-0.8568913365267856,1.9584962386521276,,0.2551810492918722
21627,2.46384461886037,2.555463419343876,2.4849971033597873,3.0782096744767564,-0.8568913365267856,1.9451246959028006,,0.2540666195135373
21792,2.6352761532645896,0.9265228428451535,1.6895104087238004,0.6953777682633319,-0.5051969793660478,1.0882980387461656,,0.12153345689665296
21793,2.6368364951264525,0.9265228428451535,1.6895104087238004,0.680627262385062,-0.5051969793660478,1.0856600059428843,,0.12137013289387345
22364,-0.8115742651449896,0.743792096844506,2.3967304325394077,3.578584940837593,1.8884785966914621,1.5592023603535956,,0.3386356261138637
22365,-0.8115742651449896,0.8256048931705555,2.435180099662694,3.578584940837593,2.138178090528343,1.6331947518108394,,0.3366714362931444
22368,1.3601120262905324,-0.4577902222144445,1.8500679887684277,3.473180425843937,1.9309201733219932,1.631298078402089,,0.2344226102445202
22709,1.7730832906597802,-0.5887145606762691,1.3775708851594233,1.912599008992462,0.5972760021075494,1.0143629252485893,,0.12825317452523405
22735,0.793585582635118,0.17665163953308619,1.5949245025653103,1.3558125595997708,1.7940483281672073,1.1430045225000984,,0.19874789465971535
22740,0.4782100478322346,-0.013156731537708865,1.2593905539201589,1.6655048346073178,0.6213034695321165,0.8022504348708239,,0.20858019717000723
23397,1.4024839396551156,2.6539304505587586,2.4849971033597873,1.1928425712065343,1.8199452866870234,1.9108398702934437,,0.1971166343507008
23398,1.39903698771772,2.6539304505587586,2.4849971033597873,1.1514978327517436,1.8199452866870234,1.9018815322150064,,0.1954871511650349
23451,0.07489265539449472,0.38965434383945535,2.1371274725125207,3.258436486217232,0.9258746598123256,1.3571971235552058,,0.3167406483716509
23452,0.07489265539449472,0.3662682307589432,2.111990795499638,3.2188858910211566,0.6161892260316082,1.277645359741168,,0.3147667215217222
24052,2.7796958041264306,1.4122344749501583,2.4224380378446417,,1.976918293294438,2.147821652553917,,0.36931450239672103
24053,2.7796958041264306,1.4122344749501583,2.4224380378446417,,1.976918293294438,2.147821652553917,,0.3680008580526396
24459,0.67471743145037,0.9686105678652763,2.1770837476536093,,1.2661676107676798,1.271644839434234,,0.45587427723951823
24460,0.67471743145037,1.0044349896205267,2.013406936035755,,1.4698549007316535,1.2906035644595764,,0.45387204359564504
24592,2.7796958041264306,1.3349548515310494,2.1342574409190638,,0.6633088480684887,1.728054236161258,,0.39116523376999257
24593,2.7796958041264306,1.3349548515310494,2.1342574409190638,,0.6633088480684887,1.728054236161258,,0.39066519043743425
40001,-0.7091802892008577,-0.3276463219211667,-1.2330421081109535,-0.4234994755079237,-0.42895142740283243,-0.6244639244287468,-0.0172805000692208,0.054179528886508115
40008,0.20046688223514206,-1.1893142365242428,-0.8716929166736451,-0.5913720343540664,-0.9426486616399155,-0.6789121933913456,-0.0035578487745378,0.016608332631565026
40011,-0.16248035500495583,-1.0211655364445587,-0.48566442946218125,0.012074903217842478,-0.966410549042826,-0.5247291933473359,0.0139115577055662,0.04108431181021625
40016,-0.2015157792993996,-0.7178410776968638,-0.27639859952309687,-0.5558340604458002,-0.36559668951814084,-0.42343724129666027,0.0032326463126066,0.033127967391382504
40025,0.09593420850549537,0.3362947044206804,-0.42071973973234567,0.4051161829870156,-0.6978161677888772,-0.0562381623216063,0.039184829129205,0.07559854518503771
50004,-0.45029052741969117,-0.69942219265285,-0.6399128145334501,-1.0918291488792482,-1.1041688804479703,-0.797124712786642,-0.0092075627421238,0.027423411253329557
50009,-0.08479662490511027,0.2133724355610834,-0.0696416968420544,-0.2688349756117887,0.015832445678887058,-0.03881368322379659,0.0202013952430042,0.07140476308189567
50010,0.008105630220439605,0.317765713933606,0.011658362344189988,-0.03256203440385402,0.007635452406786203,0.06252062490023355,0.027820198895801205,0.07948209728798668
70027,-0.4784921727876538,-0.5043823190706362,-0.6708916841718092,0.25430559512960066,-1.5025840725535722,-0.5804089306908142,0.0077917537873947,0.03899598756703035
100022,0.37738771620927275,-0.5596064600359318,-0.16495653530395096,0.4156642160361794,-1.10923538264518,-0.2081492891479221,0.0341793454959827,0.06809172234552012
100039,-0.18244185166686844,-0.7244527030734609,-0.04135597633731969,0.3429502318306816,-0.5807408388597923,-0.23720822762135194,0.0396155899339657,0.08104237360083197
100060,-0.3579285799392669,-0.6368677954595405,0.28852585364612227,-0.5283350825417216,-1.1884611849600057,-0.4846133578508825,0.011406094362416,0.05312313483399899
110002,-0.23002430565475884,-0.5698860593929651,-0.24686232844925923,-0.49115383845103294,-0.8268861815650573,-0.47296254270261473,0.0115220125675258,0.06570753217628106
110005,-0.5929169041559056,-0.09618530935573602,-0.6039924787476243,-0.2587336983863557,-0.27655946519172786,-0.3656775711674699,-0.0011515418666785,0.07128512856002721
110009,-0.4682143707031921,-0.9047039879604306,-0.9160665121163774,0.2781562158198862,-1.061049142868766,-0.614375559565776,0.0184293759990863,0.04924524019816891
110013,0.010503588119462828,-0.4746958605938527,-0.3488585426930575,0.30106500741962955,-0.5516389051379165,-0.21272494257714686,0.0271434514639283,0.059964260224583496
110015,-0.3493935184649735,-0.7234415414586515,-0.23584795189423124,-0.5248414805990061,-0.8566420628955133,-0.5380333110624751,0.0053530805462573,0.059373748234305225
