date,nav,daily_return,fund_code
2021-08-18,2.853,0.0,161810
2021-08-19,2.817,-1.26,161810
2021-08-20,2.802,-0.53,161810
2021-08-23,2.818,0.57,161810
2021-08-24,2.841,0.82,161810
2021-08-25,2.857,0.56,161810
2021-08-26,2.777,-2.8,161810
2021-08-27,2.79,0.47,161810
2021-08-30,2.78,-0.36,161810
2021-08-31,2.772,-0.29,161810
2021-09-01,2.751,-0.76,161810
2021-09-02,2.737,-0.51,161810
2021-09-03,2.8,2.3,161810
2021-09-06,2.815,0.54,161810
2021-09-07,2.818,0.11,161810
2021-09-08,2.882,2.27,161810
2021-09-09,2.851,-1.08,161810
2021-09-10,2.827,-0.84,161810
2021-09-13,2.857,1.06,161810
2021-09-14,2.796,-2.14,161810
2021-09-15,2.833,1.32,161810
2021-09-16,2.849,0.56,161810
2021-09-17,2.801,-1.68,161810
2021-09-22,2.762,-1.39,161810
2021-09-23,2.792,1.09,161810
2021-09-24,2.698,-3.37,161810
2021-09-27,2.687,-0.41,161810
2021-09-28,2.703,0.6,161810
2021-09-29,2.666,-1.37,161810
2021-09-30,2.685,0.71,161810
2021-10-08,2.791,3.95,161810
2021-10-11,2.826,1.25,161810
2021-10-12,2.795,-1.1,161810
2021-10-13,2.733,-2.22,161810
2021-10-14,2.758,0.91,161810
2021-10-15,2.7,-2.1,161810
2021-10-18,2.797,3.59,161810
2021-10-19,2.845,1.72,161810
2021-10-20,2.825,-0.7,161810
2021-10-21,2.8,-0.88,161810
2021-10-22,2.752,-1.71,161810
2021-10-25,2.785,1.2,161810
2021-10-26,2.781,-0.14,161810
2021-10-27,2.782,0.04,161810
2021-10-28,2.699,-2.98,161810
2021-10-29,2.721,0.82,161810
2021-11-01,2.776,2.02,161810
2021-11-02,2.768,-0.29,161810
2021-11-03,2.797,1.05,161810
2021-11-04,2.817,0.72,161810
2021-11-05,2.789,-0.99,161810
2021-11-08,2.788,-0.04,161810
2021-11-09,2.86,2.58,161810
2021-11-10,2.845,-0.52,161810
2021-11-11,2.885,1.41,161810
2021-11-12,2.915,1.04,161810
2021-11-15,2.839,-2.61,161810
2021-11-16,2.821,-0.63,161810
2021-11-17,2.832,0.39,161810
2021-11-18,2.823,-0.32,161810
2021-11-19,2.849,0.92,161810
2021-11-22,2.862,0.46,161810
2021-11-23,2.846,-0.56,161810
2021-11-24,2.808,-1.34,161810
2021-11-25,2.806,-0.07,161810
2021-11-26,2.775,-1.1,161810
2021-11-29,2.777,0.07,161810
2021-11-30,2.786,0.32,161810
2021-12-01,2.794,0.29,161810
2021-12-02,2.779,-0.54,161810
2021-12-03,2.802,0.83,161810
2021-12-06,2.793,-0.32,161810
2021-12-07,2.811,0.64,161810
2021-12-08,2.833,0.78,161810
2021-12-09,2.868,1.24,161810
2021-12-10,2.851,-0.59,161810
2021-12-13,2.858,0.25,161810
2021-12-14,2.872,0.49,161810
2021-12-15,2.843,-1.01,161810
2021-12-16,2.871,0.98,161810
2021-12-17,2.878,0.24,161810
2021-12-20,2.879,0.03,161810
2021-12-21,2.894,0.52,161810
2021-12-22,2.9,0.21,161810
2021-12-23,2.948,1.66,161810
2021-12-24,2.943,-0.17,161810
2021-12-27,2.903,-1.36,161810
2021-12-28,2.917,0.48,161810
2021-12-29,2.859,-1.99,161810
2021-12-30,2.877,0.63,161810
2021-12-31,2.893,0.56,161810
2022-01-04,2.932,1.35,161810
2022-01-05,2.889,-1.47,161810
2022-01-06,2.86,-1.0,161810
2022-01-07,2.817,-1.5,161810
2022-01-10,2.845,0.99,161810
2022-01-11,2.81,-1.23,161810
2022-01-12,2.831,0.75,161810
2022-01-13,2.821,-0.35,161810
2022-01-14,2.78,-1.45,161810
2022-01-17,2.813,1.19,161810
2022-01-18,2.823,0.36,161810
2022-01-19,2.834,0.39,161810
2022-01-20,2.811,-0.81,161810
2022-01-21,2.739,-2.56,161810
2022-01-24,2.774,1.28,161810
2022-01-25,2.665,-3.93,161810
2022-01-26,2.711,1.73,161810
2022-01-27,2.667,-1.62,161810
2022-01-28,2.662,-0.19,161810
2022-02-07,2.768,3.98,161810
2022-02-08,2.813,1.63,161810
2022-02-09,2.827,0.5,161810
2022-02-10,2.859,1.13,161810
2022-02-11,2.816,-1.5,161810
2022-02-14,2.761,-1.95,161810
2022-02-15,2.752,-0.33,161810
2022-02-16,2.782,1.09,161810
2022-02-17,2.783,0.04,161810
2022-02-18,2.812,1.04,161810
2022-02-21,2.839,0.96,161810
2022-02-22,2.848,0.32,161810
2022-02-23,2.799,-1.72,161810
2022-02-24,2.816,0.61,161810
2022-02-25,2.777,-1.38,161810
2022-02-28,2.784,0.25,161810
2022-03-01,2.797,0.47,161810
2022-03-02,2.835,1.36,161810
2022-03-03,2.883,1.69,161810
2022-03-04,2.851,-1.11,161810
2022-03-07,2.876,0.88,161810
2022-03-08,2.774,-3.55,161810
2022-03-09,2.722,-1.87,161810
2022-03-10,2.701,-0.77,161810
2022-03-11,2.709,0.3,161810
2022-03-14,2.616,-3.43,161810
2022-03-15,2.437,-6.84,161810
2022-03-16,2.478,1.68,161810
2022-03-17,2.512,1.37,161810
2022-03-18,2.559,1.87,161810
2022-03-21,2.605,1.8,161810
2022-03-22,2.642,1.42,161810
2022-03-23,2.644,0.08,161810
2022-03-24,2.652,0.3,161810
2022-03-25,2.688,1.36,161810
2022-03-28,2.744,2.08,161810
2022-03-29,2.768,0.87,161810
2022-03-30,2.767,-0.04,161810
2022-03-31,2.776,0.33,161810
2022-04-01,2.758,-0.65,161810
2022-04-06,2.814,2.03,161810
2022-04-07,2.753,-2.17,161810
2022-04-08,2.774,0.76,161810
2022-04-11,2.821,1.69,161810
2022-04-12,2.826,0.18,161810
2022-04-13,2.828,0.07,161810
2022-04-14,2.85,0.78,161810
2022-04-15,2.819,-1.09,161810
2022-04-18,2.831,0.43,161810
2022-04-19,2.911,2.83,161810
2022-04-20,2.852,-2.03,161810
2022-04-21,2.707,-5.08,161810
2022-04-22,2.664,-1.59,161810
2022-04-25,2.519,-5.44,161810
2022-04-26,2.441,-3.1,161810
2022-04-27,2.539,4.01,161810
2022-04-28,2.531,-0.32,161810
2022-04-29,2.61,3.12,161810
2022-05-05,2.665,2.11,161810
2022-05-06,2.605,-2.25,161810
2022-05-09,2.64,1.34,161810
2022-05-10,2.685,1.7,161810
2022-05-11,2.653,-1.19,161810
2022-05-12,2.608,-1.7,161810
2022-05-13,2.654,1.76,161810
2022-05-16,2.733,2.98,161810
2022-05-17,2.715,-0.66,161810
2022-05-18,2.686,-1.07,161810
2022-05-19,2.708,0.82,161810
2022-05-20,2.759,1.88,161810
2022-05-23,2.829,2.54,161810
2022-05-24,2.75,-2.79,161810
2022-05-25,2.794,1.6,161810
2022-05-26,2.802,0.29,161810
2022-05-27,2.882,2.86,161810
2022-05-30,2.899,0.59,161810
2022-05-31,2.962,2.17,161810
2022-06-01,2.914,-1.62,161810
2022-06-02,2.898,-0.55,161810
2022-06-06,2.913,0.52,161810
2022-06-07,2.865,-1.65,161810
2022-06-08,2.879,0.49,161810
2022-06-09,2.937,2.01,161810
2022-06-10,2.948,0.37,161810
2022-06-13,2.954,0.2,161810
2022-06-14,2.961,0.24,161810
2022-06-15,2.941,-0.68,161810
2022-06-16,2.908,-1.12,161810
2022-06-17,2.909,0.03,161810
