fund_code,year,quarter,report_date,ARG,return_volatility
1513,2023,3,2023-10-01,0.03395929614131658,0.12406977986817055
1513,2023,4,2024-01-01,0.08898393382429819,0.11688585972908595
1513,2024,1,2024-04-01,0.104019872216006,0.09083208644729682
1513,2024,2,2024-07-01,0.07012163884423592,0.0943516292212226
1513,2024,3,2024-10-01,0.00966921337843709,0.09871085228248826
1513,2024,4,2025-01-01,0.1010876476224246,0.09785019964889333
1513,2025,1,2025-04-01,0.03756853801752131,0.0872401557732175
1513,2025,2,2025-07-01,0.11140383997848075,0.09470710573411359
1513,2025,3,2025-10-01,0.049057238606526665,0.29105546804955995
1513,2025,4,2026-01-01,0.039821548592992195,0.2865283429924883
1513,2026,1,2026-04-01,0.04581271993068687,0.28502087443815294
1513,2026,2,2026-07-01,0.11475364901499058,0.40013593568676636
1664,2020,1,2020-04-01,0.09194316184094953,
1664,2020,2,2020-07-01,0.2588736710341298,
1664,2020,3,2020-10-01,0.17194878904883037,0.03321480605174924
1664,2020,4,2021-01-01,0.11409701222108366,0.030805259346883992
1664,2021,1,2021-04-01,0.17105518774879475,0.031501374952770736
1664,2021,2,2021-07-01,0.16995599793760346,0.028950735827530744
1664,2021,3,2021-10-01,0.12992524813216141,0.027448713074133876
1664,2021,4,2022-01-01,0.0377519494557298,0.025412701670041404
1664,2022,1,2022-04-01,0.09838830861559673,0.029592579771864618
1664,2022,2,2022-07-01,0.0949722391308673,0.02276686389997344
1664,2022,3,2022-10-01,0.07972394567400581,0.03140396842185933
1664,2022,4,2023-01-01,0.15305932951085094,0.023537158691438288
1664,2023,1,2023-04-01,0.06265790022547173,0.025952779244025764
1664,2023,2,2023-07-01,0.149503953694213,0.025880676933317526
1664,2023,3,2023-10-01,0.044361343643554714,0.026922778751937344
1664,2023,4,2024-01-01,0.10003237775344194,0.02510224253025544
1664,2024,1,2024-04-01,0.15379163221363829,0.024627902152106806
1664,2024,2,2024-07-01,0.036511308351538006,0.024268027370890895
1664,2024,3,2024-10-01,0.058343141476537574,0.021833501975754396
1664,2024,4,2025-01-01,0.1449669594740074,0.02593416242175428
1664,2025,1,2025-04-01,0.08761533946501161,0.05438148739996535
1664,2025,2,2025-07-01,0.06618675976444124,0.05528106990980524
1664,2025,3,2025-10-01,0.09541224680486765,0.16367797845185303
1664,2025,4,2026-01-01,0.05055811134677053,0.15972526667694154
1664,2026,1,2026-04-01,0.12424004525613486,0.16138324957812536
1664,2026,2,2026-07-01,0.2520646364338201,0.1633014676719067
1665,2020,1,2020-04-01,0.09099872626889727,
